image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,welcome_text.stopped,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/20_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,16,16,28,,,,,,,,,,,,,,228.90413190000254,228.90413190000254,229.38827940000192,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/35_Neil_Patrick_Harris_0009.jpg,non_target,0,0,0,0,0,17,17,68,,,,,,,,,,,,,,229.90553600000567,229.90553600000567,230.38934220000374,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/23_Emma_Stone_0014.jpg,non_target,0,0,0,0,0,18,18,48,,,,,,,,,,,,,,230.90660310000385,230.90660310000385,231.3904113000026,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/50_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,19,19,106,,,,,,,,,,,,,,231.89075720000255,231.89075720000255,232.3914886000057,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/36_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,20,20,70,,,,,,,,,,,,,,232.90873239999928,232.90873239999928,233.3926025000037,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/44_Will_Smith_0006.jpg,non_target,0,0,0,0,0,21,21,91,,,,,,,,,,,,,,233.89291539999977,233.89291539999977,234.39376110000012,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/21_Scarlett_Johansson_0007.jpg,non_target,0,0,0,0,0,22,22,38,,,,,,,,,,,,,,234.9108894000019,234.9108894000019,235.39481700000033,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/17_Margot_Robbie_0014.jpg,non_target,0,0,0,0,0,23,23,16,,,,,,,,,,,,,,235.8952242000014,235.8952242000014,236.3959501999998,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/14_Emma_Watson_0005.jpg,non_target,0,0,0,0,0,24,24,1,,,,,,,,,,,,,,236.91305970000394,236.91305970000394,237.396997200005,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/57_Jackie_Chan_0008.jpg,non_target,0,0,0,0,0,25,25,117,,,,,,,,,,,,,,237.91415699999925,237.91415699999925,238.39806360000512,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/50_Jackie_Chan_0014.jpg,non_target,0,0,0,0,0,26,26,105,,,,,,,,,,,,,,238.91532160000497,238.91532160000497,239.39911230000143,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
Celebs/21_Emma_Stone_0002.jpg,non_target,0,0,0,0,0,27,27,34,,,,,,,,,,,,,,239.89961900000344,239.89961900000344,240.40030020000268,,,,,,1,001,21,Male,2023-04-14_12h19.57.541,face_recognition_ERP_protocol,2022.2.5,59.841432171686115,
