image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,welcome_text.stopped,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/21_Daniel_Radcliffe_0008.jpg,target,3,0,3,0,0,39,39,16,,,,,,,,,,,,,,613.498543499998,613.498543499998,613.997524299979,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/57_Jackie_Chan_0008.jpg,non_target,3,0,3,0,0,40,40,72,,,,,,,,,,,,,,614.499640999973,614.499640999973,614.9987935999816,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/16_Emma_Stone_0010.jpg,non_target,3,0,3,0,0,41,41,95,,,,,,,,,,,,,,615.5015306999849,615.5015306999849,615.9998921999941,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/34_Neil_Patrick_Harris_0007.jpg,non_target,3,0,3,0,0,42,42,117,,,,,,,,,,,,,,616.5015188999823,616.5015188999823,617.0009431999933,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/20_Emma_Watson_0007.jpg,non_target,3,0,3,0,0,43,43,96,,,,,,,,,,,,,,617.5026887999848,617.5026887999848,618.0020859999931,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/18_Emma_Stone_0016.jpg,non_target,3,0,3,0,0,44,44,52,,,,,,,,,,,,,,618.5038748999941,618.5038748999941,619.0031860999879,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/38_Will_Smith_0013.jpg,non_target,3,0,3,0,0,45,45,13,,,,,,,,,,,,,,619.5049530999968,619.5049530999968,620.0040939999744,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/16_Emma_Stone_0014.jpg,non_target,3,0,3,0,0,46,46,40,,,,,,,,,,,,,,620.5056597999937,620.5056597999937,621.0051676999719,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/14_Emma_Watson_0008.jpg,non_target,3,0,3,0,0,47,47,36,,,,,,,,,,,,,,621.5068523999944,621.5068523999944,621.9897381999763,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/14_Emma_Watson_0015.jpg,non_target,3,0,3,0,0,48,48,56,,,,,,,,,,,,,,622.4914742999827,622.4914742999827,622.9903806999791,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
