image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/33_Neil_Patrick_Harris_0011.jpg,non_target,0,0,0,0,0,44,44,112,,,,,,,,,,,,,113.07507449999997,113.07507449999997,113.55900939999998,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/48_Johnny_Depp_0005.jpg,non_target,0,0,0,0,0,45,45,54,,,,,,,,,,,,,114.07618969999993,114.07618969999993,114.56013149999995,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/40_Jim_Parsons_0004.jpg,non_target,0,0,0,0,0,46,46,73,,,,,,,,,,,,,115.07725569999997,115.07725569999997,115.56112439999998,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/18_Daniel_Radcliffe_0007.jpg,target,0,0,0,0,0,47,47,81,,,,,,,,,,,,,116.06164699999994,116.06164699999994,116.54553370000002,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/39_Neil_Patrick_Harris_0001.jpg,non_target,0,0,0,0,0,48,48,4,,,,,,,,,,,,,117.06277029999995,117.06277029999995,117.54663779999993,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/50_Jackie_Chan_0014.jpg,non_target,0,0,0,0,0,49,49,38,,,,,,,,,,,,,118.06400209999998,118.06400209999998,118.54772269999995,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/44_Will_Smith_0007.jpg,non_target,0,0,0,0,0,50,50,65,,,,,,,,,,,,,119.06492650000001,119.06492650000001,119.54884629999998,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/22_Emma_Watson_0010.jpg,non_target,0,0,0,0,0,51,51,11,,,,,,,,,,,,,120.06606010000002,120.06606010000002,120.54994589999995,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
Celebs/17_Margot_Robbie_0014.jpg,non_target,0,0,0,0,0,52,52,114,,,,,,,,,,,,,121.05473319999993,121.05473319999993,121.55507069999993,000398,001,444,ggg,2023-06-21_17h58.14.297,face_recognition_ERP_protocol,2022.2.5,60.01115007169338,
,,,,,,,,,,,,,,,,,,,,,,122.06822529999994,122.06822529999994,122.55208529999999,,,,,,,,,
