image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,trialImage.stopped,polygon.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/31_Neil_Patrick_Harris_0008.jpg,non_target,0,0,0,0,0,16,16,99,,,,,,,,,,,,,141.4880170999968,141.4880170999968,141.97413159999996,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/22_Emma_Watson_0003.jpg,non_target,0,0,0,0,0,17,17,91,,,,,,,,,,,,,142.48744179998175,142.48744179998175,142.9713597999944,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/19_Emma_Stone_0006.jpg,non_target,0,0,0,0,0,18,18,66,,,,,,,,,,,,,143.47306940000271,143.47306940000271,143.97242149998783,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/14_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,19,19,14,,,,,,,,,,,,,144.47373609998613,144.47373609998613,144.9734632000036,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/38_Will_Smith_0013.jpg,non_target,0,0,0,0,0,20,20,13,,,,,,,,,,,,,145.47419139998965,145.47419139998965,145.97473909999826,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/21_Scarlett_Johansson_0007.jpg,non_target,0,0,0,0,0,21,21,118,,,,,,,,,,,,,146.49182569998084,146.49182569998084,146.97562300000573,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/36_Jim_Parsons_0011.jpg,non_target,0,0,0,0,0,22,22,86,,,,,,,,,,,,,147.4770423999871,147.4770423999871,147.97682929999428,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/38_Jim_Parsons_0003.jpg,non_target,0,0,0,0,0,23,23,53,,,,,,,,,,,,,148.47775049999473,148.47775049999473,148.97784559999127,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/39_Neil_Patrick_Harris_0001.jpg,non_target,0,0,0,0,0,24,24,4,,,,,,,,,,,,,149.47917909998796,149.47917909998796,149.97898200000054,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/20_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,25,25,35,,,,,,,,,,,,,150.48038009999436,150.48038009999436,150.98007409999263,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
