image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/19_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,17,17,42,,,,,,,,,,,,145.56134279997787,145.56134279997787,146.06190719999722,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/18_Emma_Stone_0016.jpg,non_target,0,0,0,0,0,18,18,52,,,,,,,,,,,,146.5628246999986,146.5628246999986,147.06299379997654,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/49_Johnny_Depp_0013.jpg,non_target,0,0,0,0,0,19,19,33,,,,,,,,,,,,147.5637731999741,147.5637731999741,148.06420459999936,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/31_Neil_Patrick_Harris_0008.jpg,non_target,0,0,0,0,0,20,20,99,,,,,,,,,,,,148.56497489998583,148.56497489998583,149.06522119999863,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/17_Margot_Robbie_0012.jpg,non_target,0,0,0,0,0,21,21,67,,,,,,,,,,,,149.5662525999942,149.5662525999942,150.0662615999754,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/27_Scarlett_Johansson_0012.jpg,non_target,0,0,0,0,0,22,22,78,,,,,,,,,,,,150.56654539998272,150.56654539998272,151.06734819998383,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/51_Jackie_Chan_0006.jpg,non_target,0,0,0,0,0,23,23,97,,,,,,,,,,,,151.56840509999893,151.56840509999893,152.06849239999428,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/57_Jackie_Chan_0008.jpg,non_target,0,0,0,0,0,24,24,72,,,,,,,,,,,,152.5690136999765,152.5690136999765,153.06961099998443,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/21_Margot_Robbie_0003.jpg,non_target,0,0,0,0,0,25,25,27,,,,,,,,,,,,153.570074999996,153.570074999996,154.07067849999294,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/37_Will_Smith_0015.jpg,non_target,0,0,0,0,0,26,26,113,,,,,,,,,,,,154.57127739998396,154.57127739998396,155.0718521999952,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/39_Jim_Parsons_0010.jpg,non_target,0,0,0,0,0,27,27,0,,,,,,,,,,,,155.57261779997498,155.57261779997498,156.07288929997594,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/50_Jackie_Chan_0012.jpg,non_target,0,0,0,0,0,28,28,43,,,,,,,,,,,,156.57327789999545,156.57327789999545,157.07396359997801,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/20_Emma_Stone_0005.jpg,non_target,0,0,0,0,0,29,29,63,,,,,,,,,,,,157.5751576999901,157.5751576999901,158.07507749999058,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/21_Scarlett_Johansson_0007.jpg,non_target,0,0,0,0,0,30,30,118,,,,,,,,,,,,158.57559649998439,158.57559649998439,159.07611379999435,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/18_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,31,31,75,,,,,,,,,,,,159.57658759999322,159.57658759999322,160.07721930000116,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/44_Will_Smith_0015.jpg,non_target,0,0,0,0,0,32,32,101,,,,,,,,,,,,160.56110949997674,160.56110949997674,161.06165689998306,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/32_Jim_Parsons_0016.jpg,non_target,0,0,0,0,0,33,33,102,,,,,,,,,,,,161.56191099999705,161.56191099999705,162.06268750000163,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/15_Margot_Robbie_0005.jpg,non_target,0,0,0,0,0,34,34,80,,,,,,,,,,,,162.56326199998148,162.56326199998148,163.06379739998374,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
