image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,text.started,closedEyes_text.started,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/49_Johnny_Depp_0013.jpg,non_target,0,0,0,0,0,17,17,32,,,,,,,,,63.97661789995618,63.97661789995618,64.45886879996397,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/17_Margot_Robbie_0014.jpg,non_target,0,0,0,0,0,18,18,112,,,,,,,,,64.97522939997725,64.97522939997725,65.4602053000126,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/36_Jim_Parsons_0011.jpg,non_target,0,0,0,0,0,19,19,84,,,,,,,,,65.97625940002035,65.97625940002035,66.4611612999579,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/34_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,20,20,116,,,,,,,,,66.97722520004027,66.97722520004027,67.46216500003356,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/21_Daniel_Radcliffe_0012.jpg,target,0,0,0,0,0,21,21,115,,,,,,,,,67.98014800006058,67.98014800006058,68.46351609996054,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/21_Daniel_Radcliffe_0009.jpg,target,0,0,0,0,0,22,22,81,,,,,,,,,68.9816721000243,68.9816721000243,69.46453170001041,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/39_Jim_Parsons_0001.jpg,non_target,0,0,0,0,0,23,23,48,,,,,,,,,69.98185240000021,69.98185240000021,70.46585429995321,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/22_Emma_Watson_0003.jpg,non_target,0,0,0,0,0,24,24,89,,,,,,,,,70.98175959999207,70.98175959999207,71.46673360001296,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/57_Jackie_Chan_0010.jpg,non_target,0,0,0,0,0,25,25,61,,,,,,,,,71.98514879995491,71.98514879995491,72.46780960005708,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/18_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,26,26,119,,,,,,,,,72.98625079996418,72.98625079996418,73.46886629995424,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/45_Will_Smith_0014.jpg,non_target,0,0,0,0,0,27,27,58,,,,,,,,,73.98508769995533,73.98508769995533,74.470016199979,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/55_Jackie_Chan_0015.jpg,non_target,0,0,0,0,0,28,28,29,,,,,,,,,74.98628039995674,74.98628039995674,75.47133490000851,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/50_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,29,29,38,,,,,,,,,75.97235110006295,75.97235110006295,76.47198839997873,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/47_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,30,30,75,,,,,,,,,76.98825140006375,76.98825140006375,77.47344520001207,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/32_Jim_Parsons_0010.jpg,non_target,0,0,0,0,0,31,31,96,,,,,,,,,77.9896035999991,77.9896035999991,78.45751890004613,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/22_Margot_Robbie_0010.jpg,non_target,0,0,0,0,0,32,32,17,,,,,,,,,78.97609000001103,78.97609000001103,79.45876770000905,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/23_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,33,33,118,,,,,,,,,79.95992970000952,79.95992970000952,80.45964420004748,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/44_Will_Smith_0006.jpg,non_target,0,0,0,0,0,34,34,40,,,,,,,,,80.97888409998268,80.97888409998268,81.46081109996885,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/15_Margot_Robbie_0005.jpg,non_target,0,0,0,0,0,35,35,78,,,,,,,,,81.97752760001458,81.97752760001458,82.46201659995131,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/21_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,36,36,59,,,,,,,,,82.9783679000102,82.9783679000102,83.46322459995281,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/20_Emma_Stone_0005.jpg,non_target,0,0,0,0,0,37,37,62,,,,,,,,,83.98216170002706,83.98216170002706,84.46424630004913,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/40_Will_Smith_0012.jpg,non_target,0,0,0,0,0,38,38,108,,,,,,,,,84.98047299997415,84.98047299997415,85.46522759995423,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/21_Margot_Robbie_0003.jpg,non_target,0,0,0,0,0,39,39,26,,,,,,,,,85.98392989998683,85.98392989998683,86.46637040004134,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/36_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,40,40,5,,,,,,,,,86.98247919999994,86.98247919999994,87.46761689998675,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/33_Neil_Patrick_Harris_0011.jpg,non_target,0,0,0,0,0,41,41,110,,,,,,,,,87.98347119998652,87.98347119998652,88.46839279995766,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/26_Scarlett_Johansson_0003.jpg,non_target,0,0,0,0,0,42,42,103,,,,,,,,,88.98620429995935,88.98620429995935,89.46954409999307,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/18_Daniel_Radcliffe_0008.jpg,target,0,0,0,0,0,43,43,27,,,,,,,,,89.98726960003842,89.98726960003842,90.47059180005454,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/47_Johnny_Depp_0009.jpg,non_target,0,0,0,0,0,44,44,22,,,,,,,,,90.98728550004307,90.98728550004307,91.47196700004861,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/34_Neil_Patrick_Harris_0004.jpg,non_target,0,0,0,0,0,45,45,102,,,,,,,,,91.9731235000072,91.9731235000072,92.47329330001958,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/20_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,46,46,34,,,,,,,,,92.9893617000198,92.9893617000198,93.4742538999999,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/21_Scarlett_Johansson_0007.jpg,non_target,0,0,0,0,0,47,47,117,,,,,,,,,93.97606799995992,93.97606799995992,94.45850299997255,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
