stimulus_time,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,welcome_text.stopped,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,blank_text.started,image.started,participant,session,date,expName,psychopyVersion,frameRate,
Dataset/httpsdfrpwlycscloudfrontnetdeltonjohnjpg.jpg,0,0,0,0,0,21,21,52,,,,,,,37.35455369998817,37.87167569997837,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpiamediaimdbcomimagesMMVBMTAxNDUMzUwOTdeQTJeQWpwZBbWUMDUOTAyNTIVUXCRALjpg.jpg,0,0,0,0,0,22,22,31,,,,,,,38.35565049998695,38.87276729999576,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httppixelnymagcomimgsfashiondailymindykalingwhjpg.jpg,0,0,0,0,0,23,23,49,,,,,,,39.356738999980735,39.873873199976515,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpsuploadwikimediaorgwikipediacommonsthumbddBenAffleckbyGageSkidmorejpgpxBenAffleckbyGageSkidmorejpg.jpg,0,0,0,0,0,24,24,87,,,,,,,40.357899599999655,40.8749792999879,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpimagesrottentomatoescomimagesspotlightsnewsjerryseinfeldjpg.jpg,0,0,0,0,0,25,25,38,,,,,,,41.35936979998951,41.87609320000047,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpsuploadwikimediaorgwikipediacommonsMadonnathAnnualGoldenGlobesAwardscroppedjpg.jpg,0,0,0,0,0,26,26,84,,,,,,,42.35993679999956,42.87719479997759,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpwwwetonlinecomphotomadonnabdayjpg.jpg,0,0,0,0,0,27,27,104,,,,,,,43.3610768999788,43.87828819997958,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpssmediacacheakpinimgcomxffecfafddjpg.jpg,0,0,0,0,0,28,28,79,,,,,,,44.362224699987564,44.879351499985205,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpafilesbiographycomimageuploadcfillcssrgbdprgfacehqwMTEODAOTcxNjcMjczMjkzjpg.jpg,0,0,0,0,0,29,29,2,,,,,,,45.363369800004875,45.88041919999523,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpwwwaceshowbizcomimagesphotobenaffleckjpg.jpg,0,0,0,0,0,30,30,94,,,,,,,46.36439699999755,46.8816697000002,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpcsvkmeuaeccjpg.jpg,0,0,0,0,0,31,31,23,,,,,,,47.36542649997864,47.882689199992456,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpimggalpmdstaticnetfithttpAFFwwwEgalaEfrFvarFgalFstorageFimagesFmediaFmultiuploaddufevrierFeltonjohnFfreFRFeltonjohnEjpgxqualityeltonjohnjpg.jpg,0,0,0,0,0,32,32,40,,,,,,,48.36667109999689,48.88383189999149,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpimgthedrumcomsfspublicnewstmpjerryseinfeldjpg.jpg,0,0,0,0,0,33,33,41,,,,,,,49.350923899997724,49.86813119999715,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpimagescontactmusiccomnewsimagesjerryseinfeldjpg.jpg,0,0,0,0,0,34,34,34,,,,,,,50.35203629999887,50.86923849998857,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpcdnpastemagazinecomwwwarticlesmindyprojectjpg.jpg,0,0,0,0,0,35,35,19,,,,,,,51.353088200005004,51.87032970000291,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
Dataset/httpspmctvlinefileswordpresscomeltonjohnjpg.jpg,0,0,0,0,0,36,36,56,,,,,,,52.354321799997706,52.87147260000347,494428,001,2023-03-24_16h16.56.987,face_recognition_ERP_protocol,2022.2.5,60.06565176080751,
,,,,,,,,,,,,,,,53.35540669999318,53.872543499979656,,,,,,,
