image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialImage.stopped,polygon.stopped,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/38_Neil_Patrick_Harris_0006.jpg,non_target,0,0,0,0,0,16,16,31,,,,,,,,,,,,,88.31152499999735,88.31152499999735,88.80374460000894,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/16_Margot_Robbie_0009.jpg,non_target,0,0,0,0,0,17,17,107,,,,,,,,,,,,,89.31269500000053,89.31269500000053,89.80470790000982,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/45_Will_Smith_0014.jpg,non_target,0,0,0,0,0,18,18,59,,,,,,,,,,,,,90.3134335000068,90.3134335000068,90.80595340000582,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/44_Will_Smith_0006.jpg,non_target,0,0,0,0,0,19,19,41,,,,,,,,,,,,,91.3065510999877,91.3065510999877,91.80692490001093,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/36_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,20,20,5,,,,,,,,,,,,,92.31583959999261,92.31583959999261,92.80807979998644,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/15_Margot_Robbie_0012.jpg,non_target,0,0,0,0,0,21,21,82,,,,,,,,,,,,,93.3165069000097,93.3165069000097,93.80917759999284,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/45_Will_Smith_0010.jpg,non_target,0,0,0,0,0,22,22,69,,,,,,,,,,,,,94.30999839998549,94.30999839998549,94.8103134999983,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/55_Jackie_Chan_0008.jpg,non_target,0,0,0,0,0,23,23,92,,,,,,,,,,,,,95.31105160000152,95.31105160000152,95.8114166999876,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/17_Margot_Robbie_0014.jpg,non_target,0,0,0,0,0,24,24,114,,,,,,,,,,,,,96.31223459998728,96.31223459998728,96.81261190000805,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/50_Jackie_Chan_0014.jpg,non_target,0,0,0,0,0,25,25,38,,,,,,,,,,,,,97.31988450000063,97.31988450000063,97.81380619999254,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
