image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,goodbye_text.started,goodbye_text.stopped,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/31_Neil_Patrick_Harris_0008.jpg,non_target,0,0,0,0,0,17,17,99,,,,,,,,,,,,,99.37920959998155,99.37920959998155,99.87888440000825,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/17_Emma_Watson_0006.jpg,non_target,0,0,0,0,0,18,18,90,,,,,,,,,,,,,100.38023599999724,100.38023599999724,100.87992559996201,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/14_Emma_Watson_0005.jpg,non_target,0,0,0,0,0,19,19,26,,,,,,,,,,,,,101.38101690000622,101.38101690000622,101.88095059996704,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/21_Emma_Stone_0003.jpg,non_target,0,0,0,0,0,20,20,25,,,,,,,,,,,,,102.38199119997444,102.38199119997444,102.88204699999187,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/45_Will_Smith_0014.jpg,non_target,0,0,0,0,0,21,21,59,,,,,,,,,,,,,103.38382589997491,103.38382589997491,103.88323300000047,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/38_Neil_Patrick_Harris_0006.jpg,non_target,0,0,0,0,0,22,22,31,,,,,,,,,,,,,104.3846077999915,104.3846077999915,104.88423189998139,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/57_Jackie_Chan_0008.jpg,non_target,0,0,0,0,0,23,23,72,,,,,,,,,,,,,105.38574579998385,105.38574579998385,105.88535249995766,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/55_Jackie_Chan_0003.jpg,non_target,0,0,0,0,0,24,24,29,,,,,,,,,,,,,106.3868264000048,106.3868264000048,106.8858452999848,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/21_Margot_Robbie_0003.jpg,non_target,0,0,0,0,0,25,25,27,,,,,,,,,,,,,107.38815690000774,107.38815690000774,107.88755059998948,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/19_Emma_Stone_0006.jpg,non_target,0,0,0,0,0,26,26,66,,,,,,,,,,,,,108.38909630000126,108.38909630000126,108.8886635999661,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/47_Johnny_Depp_0009.jpg,non_target,0,0,0,0,0,27,27,23,,,,,,,,,,,,,109.38978359999601,109.38978359999601,109.88971489999676,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/21_Daniel_Radcliffe_0012.jpg,target,0,0,0,0,0,28,28,8,,,,,,,,,,,,,110.39083319995552,110.39083319995552,110.89083679998294,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/49_Johnny_Depp_0013.jpg,non_target,0,0,0,0,0,29,29,33,,,,,,,,,,,,,111.39251529995818,111.39251529995818,111.89191199996276,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/14_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,30,30,14,,,,,,,,,,,,,112.39298299996881,112.39298299996881,112.89301189995604,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/50_Jackie_Chan_0012.jpg,non_target,0,0,0,0,0,31,31,43,,,,,,,,,,,,,113.3940921999747,113.3940921999747,113.87744239997119,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/17_Margot_Robbie_0014.jpg,non_target,0,0,0,0,0,32,32,114,,,,,,,,,,,,,114.3788835000014,114.3788835000014,114.87856290000491,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
