image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/21_Scarlett_Johansson_0007.jpg,non_target,0,0,0,0,0,17,17,38,,,,,,,,,,,,,126.02962609999986,126.02962609999986,126.5288043999999,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/18_Emma_Stone_0016.jpg,non_target,0,0,0,0,0,18,18,20,,,,,,,,,,,,,127.02930930000002,127.02930930000002,127.53005940000003,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/39_Neil_Patrick_Harris_0001.jpg,non_target,0,0,0,0,0,19,19,82,,,,,,,,,,,,,128.03142119999984,128.03142119999984,128.53096019999975,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/27_Scarlett_Johansson_0012.jpg,non_target,0,0,0,0,0,20,20,56,,,,,,,,,,,,,129.03156420000005,129.03156420000005,129.53206060000002,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/18_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,21,21,21,,,,,,,,,,,,,130.03334529999984,130.03334529999984,130.53327169999966,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/39_Jim_Parsons_0010.jpg,non_target,0,0,0,0,0,22,22,81,,,,,,,,,,,,,131.03450999999995,131.03450999999995,131.53416639999978,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/55_Jackie_Chan_0003.jpg,non_target,0,0,0,0,0,23,23,114,,,,,,,,,,,,,132.03462579999996,132.03462579999996,132.53536899999972,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/38_Will_Smith_0013.jpg,non_target,0,0,0,0,0,24,24,77,,,,,,,,,,,,,133.03734289999966,133.03734289999966,133.53639639999983,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/17_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,25,25,14,,,,,,,,,,,,,134.0370958999997,134.0370958999997,134.53761529999974,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/50_Jackie_Chan_0014.jpg,non_target,0,0,0,0,0,26,26,105,,,,,,,,,,,,,135.03941989999976,135.03941989999976,135.53871499999968,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/20_Emma_Stone_0005.jpg,non_target,0,0,0,0,0,27,27,25,,,,,,,,,,,,,136.04076529999975,136.04076529999975,136.53978009999992,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/50_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,28,28,106,,,,,,,,,,,,,137.04041189999998,137.04041189999998,137.5408137999998,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/22_Emma_Stone_0013.jpg,non_target,0,0,0,0,0,29,29,39,,,,,,,,,,,,,138.04349509999975,138.04349509999975,138.54189659999975,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/20_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,30,30,27,,,,,,,,,,,,,139.0422550999997,139.0422550999997,139.5431638,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/47_Johnny_Depp_0009.jpg,non_target,0,0,0,0,0,31,31,99,,,,,,,,,,,,,140.0443919999998,140.0443919999998,140.52736490000007,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/21_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,32,32,36,,,,,,,,,,,,,141.02787050000006,141.02787050000006,141.5284284999998,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/34_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,33,33,67,,,,,,,,,,,,,142.02906529999973,142.02906529999973,142.52968340000007,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/33_Neil_Patrick_Harris_0011.jpg,non_target,0,0,0,0,0,34,34,65,,,,,,,,,,,,,143.03175829999964,143.03175829999964,143.5307112999999,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/31_Neil_Patrick_Harris_0008.jpg,non_target,0,0,0,0,0,35,35,60,,,,,,,,,,,,,144.03246209999998,144.03246209999998,144.5318546999997,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/57_Jackie_Chan_0010.jpg,non_target,0,0,0,0,0,36,36,118,,,,,,,,,,,,,145.0328096999997,145.0328096999997,145.53286489999982,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/39_Jim_Parsons_0001.jpg,non_target,0,0,0,0,0,37,37,78,,,,,,,,,,,,,146.0349154999999,146.0349154999999,146.53405239999984,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/14_Emma_Watson_0013.jpg,non_target,0,0,0,0,0,38,38,3,,,,,,,,,,,,,147.0343915999997,147.0343915999997,147.53507249999984,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/25_Scarlett_Johansson_0010.jpg,non_target,0,0,0,0,0,39,39,53,,,,,,,,,,,,,148.0355881999999,148.0355881999999,148.53633020000007,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/48_Johnny_Depp_0005.jpg,non_target,0,0,0,0,0,40,40,102,,,,,,,,,,,,,149.03654019999976,149.03654019999976,149.5372408999997,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/19_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,41,41,24,,,,,,,,,,,,,150.03788589999976,150.03788589999976,150.53837989999965,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/58_Jackie_Chan_0005.jpg,non_target,0,0,0,0,0,42,42,119,,,,,,,,,,,,,151.03876199999968,151.03876199999968,151.53945559999966,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/21_Margot_Robbie_0003.jpg,non_target,0,0,0,0,0,43,43,37,,,,,,,,,,,,,152.03997230000004,152.03997230000004,152.54070309999997,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/17_Daniel_Radcliffe_0007.jpg,target,0,0,0,0,0,44,44,12,,,,,,,,,,,,,153.04111939999984,153.04111939999984,153.5417712999997,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/20_Scarlett_Johansson_0011.jpg,non_target,0,0,0,0,0,45,45,29,,,,,,,,,,,,,154.04218449999962,154.04218449999962,154.54283189999978,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/44_Will_Smith_0015.jpg,non_target,0,0,0,0,0,46,46,93,,,,,,,,,,,,,155.04487249999966,155.04487249999966,155.54387299999962,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/50_Johnny_Depp_0008.jpg,non_target,0,0,0,0,0,47,47,107,,,,,,,,,,,,,156.0285589,156.0285589,156.52816140000004,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
