image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,text.started,closedEyes_text.started,trialImage.started,polygon.started,blank_text.started,blank_text.stopped,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/21_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,17,17,59,,,,,,,,,44.93562700005714,44.93562700005714,45.41691260004882,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/22_Emma_Watson_0010.jpg,non_target,0,0,0,0,0,18,18,10,,,,,,,,,45.934256199980155,45.934256199980155,46.41849419998471,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/29_Scarlett_Johansson_0010.jpg,non_target,0,0,0,0,0,19,19,83,,,,,,,,,46.93751850002445,46.93751850002445,47.419227699982,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/21_Daniel_Radcliffe_0008.jpg,target,0,0,0,0,0,20,20,15,,,,,,,,,47.93570000003092,47.93570000003092,48.42053050000686,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/48_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,21,21,54,,,,,,,,,48.93919339997228,48.93919339997228,49.4215357999783,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/21_Margot_Robbie_0003.jpg,non_target,0,0,0,0,0,22,22,26,,,,,,,,,49.93858930002898,49.93858930002898,50.422173799946904,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/19_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,23,23,41,,,,,,,,,50.93912710004952,50.93912710004952,51.42322240001522,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/47_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,24,24,75,,,,,,,,,51.94356200005859,51.94356200005859,52.424657800002024,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/55_Jackie_Chan_0003.jpg,non_target,0,0,0,0,0,25,25,28,,,,,,,,,52.94437130005099,52.94437130005099,53.42573989997618,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/50_Jackie_Chan_0014.jpg,non_target,0,0,0,0,0,26,26,37,,,,,,,,,53.945462699979544,53.945462699979544,54.427073500002734,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
