-2279.542658	-2646.714764	-2223.551538	-2093.285572	-2654.090840	-1683.734558	-1959.040995	-2811.290659	-6139.286594	-6033.629898	-1114.077999	-3050.007290	-1496.851623	-474.214610	113.122179	-1333.817999	1.000000
-4574.195096	-5308.785177	-4462.570484	-4201.859737	-5323.649087	-3382.891820	-3934.130542	-5637.780504	-12327.925840	-12089.589189	-2254.441649	-6086.000036	-2995.334923	-946.976357	238.962500	-2665.043195	0.000000
-4535.995965	-5270.116659	-4424.013725	-4163.258274	-5285.114680	-3343.172770	-3897.071349	-5598.866117	-12314.470090	-12076.960454	-2239.555387	-6071.583160	-2979.599295	-929.676107	258.095593	-2645.932453	0.000000
-4563.890942	-5298.525727	-4452.355737	-4192.203783	-5313.389637	-3373.347625	-3922.395876	-5624.391809	-12298.130965	-12059.213169	-2224.199739	-6054.349965	-2962.813135	-914.588680	271.014902	-2632.901386	0.000000
-4579.403052	-5314.730741	-4468.560752	-4208.229984	-5329.415837	-3388.546811	-3912.672867	-5627.252832	-12331.904451	-12102.061463	-2259.090812	-6103.724969	-3014.177443	-966.400023	218.644764	-2685.427986	0.000000
-4551.418668	-5285.919343	-4439.481132	-4179.329178	-5300.783253	-3359.958930	-3904.626239	-5609.550251	-12316.369988	-12082.458983	-2238.080172	-6094.828975	-3006.555498	-960.253294	224.858549	-2680.108271	0.000000
-4606.359256	-5341.441076	-4495.092272	-4235.074429	-5356.372041	-3416.218271	-3957.242245	-5661.227484	-12339.727561	-12106.330646	-2266.019853	-6091.498565	-2998.128891	-948.563331	238.895445	-2665.110250	0.000000
-4528.999869	-5262.718232	-4416.458835	-4155.479867	-5276.442203	-3335.595529	-3905.006219	-5603.001190	-12326.428273	-12085.655282	-2257.615597	-6087.005864	-2993.502080	-943.333023	244.885712	-2659.455259	0.000000
-4528.329316	-5262.315901	-4415.922393	-4155.233998	-5276.531610	-3336.131970	-3890.656399	-5590.305399	-12278.819058	-12036.235575	-2202.965582	-6029.941860	-2938.449733	-890.113519	295.087730	-2609.074427	0.000000
-4575.469145	-5309.321619	-4462.816353	-4202.127958	-5323.067942	-3381.997750	-3938.511483	-5640.216844	-12323.008457	-12084.582398	-2246.350318	-6075.986454	-2984.561382	-936.001651	250.116020	-2653.420288	0.000000
-4536.063020	-5270.161363	-4423.499635	-4162.855943	-5284.287665	-3342.368107	-3891.706931	-5596.675646	-12313.978352	-12073.853561	-2239.018946	-6068.073936	-2976.335940	-927.440933	258.609683	-2645.239549	0.000000
-4558.772392	-5292.893087	-4446.700745	-4185.811184	-5307.354666	-3366.128011	-3916.495015	-5620.659068	-12306.490517	-12066.589244	-2238.974242	-6061.681338	-2967.372890	-916.510930	270.947846	-2632.409648	0.000000
-4528.664592	-5262.919398	-4416.570594	-4155.993957	-5277.291569	-3336.780171	-3882.520364	-5586.013864	-12307.697512	-12069.092640	-2241.969376	-6067.313977	-2974.458393	-924.177578	263.191791	-2640.903311	0.000000
-4579.067776	-5311.869718	-4465.476211	-4204.631353	-5325.996021	-3384.456442	-3921.166530	-5625.241175	-12289.547895	-12059.727259	-2213.649716	-6045.543378	-2954.341823	-905.133892	281.207297	-2622.932508	0.000000
-4537.649994	-5272.731814	-4426.539472	-4166.231056	-5287.729834	-3347.017270	-3883.213268	-5591.892373	-12313.285448	-12085.588227	-2233.408658	-6069.772669	-2978.816984	-930.011383	257.179172	-2647.698241	2.000000
-4544.132000	-5278.543267	-4431.970946	-4171.327254	-5293.630695	-3351.979357	-3875.613675	-5583.532820	-12283.378814	-12049.914843	-2209.380532	-6043.241148	-2951.100820	-901.691723	286.482309	-2618.193939	0.000000
-4530.631546	-5265.825124	-4419.722190	-4159.927864	-5280.778442	-3340.669375	-3865.063651	-5577.453146	-12298.980331	-12084.291826	-2216.398980	-6053.679413	-2962.902542	-914.029886	273.272428	-2630.912081	0.000000
-4506.089330	-5240.746467	-4394.643533	-4134.156303	-5255.364508	-3314.584889	-3848.210436	-5557.582445	-12256.646127	-12019.315305	-2184.905372	-6041.788285	-2953.604216	-906.743217	278.659198	-2626.039401	0.000000
-4527.636412	-5261.667700	-4415.743579	-4154.831666	-5275.950465	-3335.372011	-3882.810936	-5589.478384	-12268.224331	-12029.574755	-2197.265887	-6036.692087	-2945.803457	-896.997857	287.175213	-2616.294040	0.000000
-4544.422572	-5278.856191	-4432.775609	-4172.489544	-5294.122433	-3353.476924	-3880.732224	-5592.428814	-12312.458433	-12076.245198	-2245.411544	-6096.013617	-3006.220222	-958.509857	225.484398	-2678.342483	0.000000
-4514.962973	-5250.089496	-4403.718341	-4143.566387	-5265.378090	-3324.866691	-3839.135628	-5553.380317	-12267.576130	-12044.416314	-2192.862593	-6031.081799	-2939.522617	-890.337037	296.071207	-2608.001543	0.500000
-4532.732610	-5267.322691	-4421.085646	-4160.665472	-5282.074843	-3341.004651	-3863.588436	-5577.073166	-12256.713183	-12030.647639	-2183.027826	-6026.209119	-2935.499303	-886.447833	299.893355	-2604.492319	1.500000
-4521.556738	-5256.280930	-4410.245050	-4150.137800	-5271.502468	-3331.303994	-3846.489352	-5561.158724	-12297.259247	-12069.673785	-2219.438817	-6061.703689	-2970.479783	-921.629479	267.282160	-2637.952881	0.000000
-4520.416799	-5255.364508	-4409.418036	-4149.310785	-5270.139011	-3331.236938	-3854.983014	-5568.735965	-12235.993115	-12009.257020	-2155.512828	-6012.999238	-2926.089218	-879.921124	303.424931	-2600.781930	0.000000
